id,name,population,area,lat,lon
3382,Szarvasko,326,1259,47.9885,20.3302
3391,Piricse,1824,3699,47.7717,22.1518
3407,Budajeno,2001,1242,47.5557,18.8038
3416,Somogyszil,713,3846,46.5218,17.9967
3425,Bogyiszlo,2068,5593,46.3832,18.8167
3434,Lasztonya,60,877,46.5561,16.7163
3443,Mezozombor,2369,3879,48.1503,21.2596
3452,Boldog,2893,2674,47.6012,19.6954
3461,Ketegyhaza,3303,5049,46.5455,21.1856
3470,Mezod,113,1041,46.2885,18.1021
3489,Edde,181,851,46.5249,17.7165
3498,Vereb,771,2232,47.32,18.6177
3504,Sajobabony,2577,1343,48.175,20.7387
3513,Visznek,1062,2273,47.6422,20.033
3522,Baja,34495,17789,46.1785,18.9511
3531,Leh,399,845,48.2923,20.9805
3540,Kokeny,577,490,46.001,18.2043
3559,Balatonvilagos,1216,2921,46.9642,18.1593
3568,Szentantalfa,483,661,46.9122,17.674
3577,Gederlak,974,1894,46.6085,18.914
3586,Szabolcsveresmart,1571,2295,48.2924,22.0198
3595,Abaujszanto,2906,4739,48.2787,21.1855
3601,Soly,517,1028,47.1299,18.0321
3610,Malomsok,478,2574,47.4522,17.3946
3629,Geberjen,450,538,47.932,22.456
3638,Balatonhenye,121,1173,46.912,17.6155
3647,Doge,2175,1654,48.2588,22.0685
3656,Batmonostor,1475,3795,46.1048,18.9279
3665,Cered,1053,3858,48.1445,19.9671
3674,Nemeskeresztur,274,1217,47.0936,17.1934
3683,Magyarhomorog,827,3957,47.0215,21.5429
3692,Mende,4193,2715,47.4303,19.4553
3708,Taktabaj,576,1682,48.0621,21.3122
3717,Tiszadorogma,321,4661,47.682,20.8628
3726,Zebecke,52,445,46.6427,16.6863
3735,Bardudvarnok,1109,4856,46.3268,17.6851
3744,Gagyvendegi,191,1232,48.43,20.975
3753,Rabcakapi,148,787,47.7086,17.2757
3762,Kiskinizs,311,717,48.2512,21.0356
3771,Arnot,2298,1754,48.1308,20.8611
3780,Ocsard,373,1266,45.9347,18.1515
3799,Csakany,243,1609,46.5406,17.2715
3805,Szakald,436,1140,47.9421,20.9077
3814,Heviz,4523,830,46.7906,17.1834
3823,Arokto,1109,4641,47.7282,20.9434
3832,Keszu,1230,731,46.017,18.1918
3841,Bokor,97,675,47.9336,19.5404
3850,Tiszabercel,1776,3138,48.1565,21.6494
3869,Kistormas,292,1135,46.5,18.5658
3878,Nyirpilis,872,1634,47.7839,22.1849
3887,Szerecseny,762,1238,47.4619,17.5547
3896,Cserkut,607,667,46.0763,18.1352
3902,Mad,2112,3186,48.1919,21.2742
3911,Csakanydoroszlo,1763,2661,46.9752,16.5046
3939,Cigand,3008,5676,48.2572,21.8905
3948,Raposka,220,490,46.8484,17.4231
3957,Viszlo,64,1110,48.4933,20.8877
3966,Ruzsa,2348,8468,46.2892,19.7497
3975,Baksa,767,1382,45.9595,18.095
3984,Nagybudmer,148,1022,45.9365,18.4449
3993,Hehalom,989,1867,47.7795,19.5858
4002,Zalacsany,910,1607,46.8065,17.0979
4020,Himod,606,2270,47.5197,17.0077
4039,Csorna,10105,9195,47.6134,17.2498
4048,Tofu,108,434,46.3096,18.359
4057,Pecel,16310,4363,47.4911,19.3447
4066,Kungos,491,948,47.066,18.1734
4075,Ocsa,9416,8166,47.3012,19.2314
4084,Hevesvezekeny,642,1978,47.5572,20.3578
4093,Helvecia,4657,5647,46.8374,19.6213
4109,Dusnok,2774,5747,46.39,18.959
4118,Hortobagy,1323,28460,47.5826,21.1525
4127,Som,642,2335,46.8076,18.1397
4136,Tottos,532,2299,45.9146,18.5414
4145,Hort,3564,4309,47.6896,19.7826
4154,Tarnok,9900,2361,47.3669,18.866
4163,Bodehaza,34,667,46.6412,16.4026
4172,Tarnokreti,165,954,47.7218,17.3073
4181,Perocseny,295,4140,47.9955,18.8609
4190,Kocsk,230,1258,47.1908,17.1032
4206,Mezogyan,934,5987,46.8697,21.523
4215,Nyomar,260,1046,48.276,20.8196
4224,Csorotnek,883,2053,46.9517,16.3655
4233,Aszalo,1831,2536,48.2256,20.9548
